"Dataset","Verdict","GRADE","Score","IAI","Bias_P","Sens","Spec","LR_Pos","LR_Neg","Narrative"
"Cochrane_CD011134","CONDITIONAL","Low",59.7,0.996,"0.441",0.71,0.843,4.51,0.35,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD011145","CONDITIONAL","Low",59.9,0.998,"N/A",0.784,0.777,3.5,0.28,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD011420","ROBUST","Moderate",79.8,0.997,"N/A",0.431,0.915,5,0.62,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD011431","ROBUST","Moderate",79.8,0.997,"N/A",0.813,0.979,40.53,0.19,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD011515","FRAGILE","Very Low",17.2,0.287,"N/A",0.802,0.816,3.9,0.19,"The test demonstrates moderate diagnostic accuracy. Very low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD011548","ROBUST","Moderate",77.6,0.96,"N/A",0.652,0.922,7.47,0.4,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD011549","IMMUTABLE TRUTH","High",98.9,0.981,"N/A",0.941,0.958,22.74,0.06,"The test demonstrates excellent overall accuracy. High certainty evidence supports this finding."
"Cochrane_CD011975","ROBUST","Moderate",79.9,0.999,"N/A",0.565,0.912,6.41,0.48,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD011984","ROBUST","Moderate",79.7,0.995,"N/A",0.48,0.948,9.13,0.55,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Cochrane_CD012019","FRAGILE","Very Low",26.5,0.692,"0.017",0.682,0.736,2.34,0.46,"The test demonstrates moderate diagnostic accuracy. Very low certainty evidence supports this finding; limited by publication bias and information deficits"
"Cochrane_CD012165","CONDITIONAL","Low",48,0.8,"N/A",0.758,0.73,2.76,0.33,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding; limited by information deficits"
"Cochrane_CD012179","CONDITIONAL","Low",59.9,0.998,"N/A",0.639,0.742,2.46,0.49,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"Cochrane_CD012281","ROBUST","Moderate",79.1,0.986,"N/A",0.76,0.892,7.22,0.27,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"COVID_AntigenTests_Cochrane2021","ROBUST","Moderate",78.9,0.981,"0.327",0.798,0.976,37.18,0.2,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"CT_Colonography_Whiting2011","CONDITIONAL","Low",47,0.783,"0.945",0.83,0.846,5.48,0.18,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding; limited by information deficits"
"DDimer_PE_Crawford2020","CONDITIONAL","Low",64,0.983,"0.006",0.952,0.793,4.5,0.06,"The test demonstrates excellent sensitivity but lower specificity. Low certainty evidence supports this finding; limited by publication bias"
"Dementia_data","ROBUST","Moderate",79.3,0.988,"N/A",0.792,0.862,5.78,0.24,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"Depression_Screening_Gilbody2008","ROBUST","Moderate",78.3,0.971,"0.752",0.837,0.863,6.29,0.17,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"DVT_Ultrasound_Goodacre2005","ROBUST","Moderate",83.5,0.975,"0.01",0.931,0.968,31.9,0.07,"The test demonstrates excellent overall accuracy. Moderate certainty evidence supports this finding; limited by publication bias"
"FENO_Asthma_Schneider2017","CONDITIONAL","Low",59.8,0.997,"N/A",0.578,0.751,2.31,0.56,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"HSTroponin_MI_Body2014","CONDITIONAL","Low",63.6,0.976,"0.008",0.916,0.742,3.36,0.12,"The test demonstrates excellent sensitivity but lower specificity. Low certainty evidence supports this finding; limited by publication bias"
"IAQ_data","IMMUTABLE TRUTH","High",98.9,0.981,"N/A",0.936,0.95,18.63,0.07,"The test demonstrates excellent overall accuracy. High certainty evidence supports this finding."
"IQCODE_Dementia_MetaDTA","ROBUST","Moderate",78.3,0.971,"N/A",0.869,0.711,2.86,0.16,"The test demonstrates moderate diagnostic accuracy. Moderate certainty evidence supports this finding."
"MRI_Prostate_Futterer2015","FRAGILE","Very Low",43.5,0.975,"0",0.838,0.827,4.83,0.18,"The test demonstrates moderate diagnostic accuracy. Very low certainty evidence supports this finding; limited by publication bias"
"POCUS_Shock_Yoshida2023","ROBUST","Moderate",75.4,0.84,"0.001",0.95,0.945,16.92,0.05,"The test demonstrates excellent overall accuracy. Moderate certainty evidence supports this finding; limited by publication bias"
"Procalcitonin_Sepsis_Wacker2013","CONDITIONAL","Low",58.7,0.979,"0.155",0.826,0.765,3.42,0.22,"The test demonstrates moderate diagnostic accuracy. Low certainty evidence supports this finding."
"SAQ_data","IMMUTABLE TRUTH","High",99.2,0.988,"N/A",0.878,0.908,9.33,0.13,"The test demonstrates excellent specificity but lower sensitivity. High certainty evidence supports this finding."
"SkinTests_data","ROBUST","Moderate",77.8,0.964,"0.402",0.275,0.955,4.96,0.82,"The test demonstrates excellent specificity but lower sensitivity. Moderate certainty evidence supports this finding."
"Smoking_data","IMMUTABLE TRUTH","High",99.5,0.992,"N/A",0.919,0.931,13.17,0.09,"The test demonstrates excellent overall accuracy. High certainty evidence supports this finding."
"TB_SmearMicroscopy_Steingart2006","CONDITIONAL","Low",63.9,0.981,"0.002",0.756,0.981,48.87,0.25,"The test demonstrates excellent specificity but lower sensitivity. Low certainty evidence supports this finding; limited by publication bias"
"XpertMTB_RIF_Tuberculosis2014","CONDITIONAL","Low",63.7,0.978,"0.007",0.846,0.975,38.21,0.15,"The test demonstrates excellent specificity but lower sensitivity. Low certainty evidence supports this finding; limited by publication bias"
