"Dataset","Verdict","GRADE","Score","IAI","ESS","Bias_P","Sens","Spec","Narrative"
"Cochrane_CD010783","CONDITIONAL","Low",58.3,0.971,0,"0.69",0.53,0.792,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.3%. Robust Certainty: Low."
"Cochrane_CD010860","IMMUTABLE TRUTH","High",94,0.9,0,"N/A",0.941,0.872,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 47.9%. Few Studies Certainty: High."
"Cochrane_CD010896","ROBUST","Moderate",69.4,0.823,0,"N/A",0.663,0.889,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 40.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD011134","CONDITIONAL","Low",59.7,0.996,0,"0.441",0.71,0.843,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 33.4%. Sparse Data Certainty: Low."
"Cochrane_CD011145","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.784,0.777,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 28.0%. Sparse Data Certainty: Low."
"Cochrane_CD011420","ROBUST","Moderate",79.8,0.997,0,"N/A",0.431,0.915,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 35.7%. Sparse Data Certainty: Moderate."
"Cochrane_CD011431","ROBUST","Moderate",79.8,0.997,0,"N/A",0.813,0.979,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 81.8%. Sparse Data Certainty: Moderate."
"Cochrane_CD011515","FRAGILE","Very Low",17.2,0.287,0,"N/A",0.802,0.816,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 30.3%. Low Power; Few Studies Certainty: Very Low."
"Cochrane_CD011548","ROBUST","Moderate",77.6,0.96,0,"N/A",0.652,0.922,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 45.4%. Sparse Data Certainty: Moderate."
"Cochrane_CD011549","IMMUTABLE TRUTH","High",98.9,0.981,0,"N/A",0.941,0.958,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 71.6%. Sparse Data Certainty: High."
"Cochrane_CD011975","ROBUST","Moderate",79.9,0.999,0,"N/A",0.565,0.912,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 41.6%. Sparse Data Certainty: Moderate."
"Cochrane_CD011984","ROBUST","Moderate",79.7,0.995,0,"N/A",0.48,0.948,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 50.4%. Sparse Data Certainty: Moderate."
"Cochrane_CD012019","FRAGILE","Very Low",26.5,0.692,0,"0.017",0.682,0.736,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 20.6%. Robust Certainty: Very Low."
"Cochrane_CD012165","CONDITIONAL","Low",48,0.8,0,"N/A",0.758,0.73,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 23.5%. Sparse Data Certainty: Low."
"Cochrane_CD012179","CONDITIONAL","Low",59.9,0.998,0,"N/A",0.639,0.742,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 21.5%. Sparse Data Certainty: Low."
"Cochrane_CD012281","ROBUST","Moderate",79.1,0.986,0,"N/A",0.76,0.892,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 44.5%. Sparse Data Certainty: Moderate."
"COVID_AntigenTests_Cochrane2021","ROBUST","Moderate",78.9,0.981,0,"0.327",0.798,0.976,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 80.5%. Robust Certainty: Moderate."
"CT_Colonography_Whiting2011","CONDITIONAL","Low",47,0.783,0,"0.945",0.83,0.846,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 37.9%. Robust Certainty: Low."
"DDimer_PE_Crawford2020","CONDITIONAL","Low",64,0.983,0,"0.006",0.952,0.793,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 33.3%. Robust Certainty: Low."
"Dementia_data","ROBUST","Moderate",79.3,0.988,0,"N/A",0.792,0.862,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 39.1%. Sparse Data Certainty: Moderate."
"Depression_Screening_Gilbody2008","ROBUST","Moderate",78.3,0.971,0,"0.752",0.837,0.863,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 41.1%. Robust Certainty: Moderate."
"DVT_Ultrasound_Goodacre2005","ROBUST","Moderate",83.5,0.975,0,"0.01",0.931,0.968,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 78.0%. Robust Certainty: Moderate."
"FENO_Asthma_Schneider2017","CONDITIONAL","Low",59.8,0.997,0,"N/A",0.578,0.751,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 20.4%. Sparse Data Certainty: Low."
"HSTroponin_MI_Body2014","CONDITIONAL","Low",63.6,0.976,0,"0.008",0.916,0.742,"The test acts as a high-sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 27.2%. Robust Certainty: Low."
"IAQ_data","IMMUTABLE TRUTH","High",98.9,0.981,0,"N/A",0.936,0.95,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 67.4%. Sparse Data Certainty: High."
"IQCODE_Dementia_MetaDTA","ROBUST","Moderate",78.3,0.971,0,"N/A",0.869,0.711,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 24.1%. Sparse Data Certainty: Moderate."
"MRI_Prostate_Futterer2015","FRAGILE","Very Low",43.5,0.975,0,"0",0.838,0.827,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 34.9%. Robust Certainty: Very Low."
"POCUS_Shock_Yoshida2023","ROBUST","Moderate",75.4,0.84,0,"0.001",0.95,0.945,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 65.3%. Robust Certainty: Moderate."
"Procalcitonin_Sepsis_Wacker2013","CONDITIONAL","Low",58.7,0.979,0,"0.155",0.826,0.765,"The test acts as a moderate sensitivity and moderate specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 27.5%. Robust Certainty: Low."
"SAQ_data","IMMUTABLE TRUTH","High",99.2,0.988,0,"N/A",0.878,0.908,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 50.9%. Sparse Data Certainty: High."
"SkinTests_data","ROBUST","Moderate",77.8,0.964,0,"0.402",0.275,0.955,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 35.5%. Robust Certainty: Moderate."
"Smoking_data","IMMUTABLE TRUTH","High",99.5,0.992,0,"N/A",0.919,0.931,"The test acts as a high-sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 59.4%. Sparse Data Certainty: High."
"TB_SmearMicroscopy_Steingart2006","CONDITIONAL","Low",63.9,0.981,0,"0.002",0.756,0.981,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 84.4%. Robust Certainty: Low."
"XpertMTB_RIF_Tuberculosis2014","CONDITIONAL","Low",63.7,0.978,0,"0.007",0.846,0.975,"The test acts as a moderate sensitivity and high-specificity tool. In a setting with 10% disease prevalence, a positive test increases the probability of disease to 80.9%. Robust Certainty: Low."
