"Dataset","Verdict","GRADE","Pathway","Sens","Spec","Averaged"
"COVID_AntigenTests_Cochrane2021","ROBUST","Low","Confirmation (Rule-In)",0.794,0.973,FALSE
"CT_Colonography_Whiting2011","CONDITIONAL","Low","Adjunct Only",0.82,0.843,FALSE
"DDimer_PE_Crawford2020","ROBUST","Low","Adjunct Only",0.947,0.793,FALSE
"Dementia_data","ROBUST","Low","Adjunct Only",0.783,0.874,FALSE
"Depression_Screening_Gilbody2008","ROBUST","Low","Adjunct Only",0.831,0.861,FALSE
"DVT_Ultrasound_Goodacre2005","ROBUST","Low","Confirmation (Rule-In)",0.923,0.966,FALSE
"FENO_Asthma_Schneider2017","ROBUST","Low","Adjunct Only",0.604,0.769,FALSE
"HSTroponin_MI_Body2014","ROBUST","Low","Adjunct Only",0.912,0.742,FALSE
"IAQ_data","ROBUST","Low","Stand-alone Diagnostic",0.949,0.924,FALSE
"IQCODE_Dementia_MetaDTA","ROBUST","Low","Adjunct Only",0.871,0.684,FALSE
"MRI_Prostate_Futterer2015","ROBUST","Low","Adjunct Only",0.832,0.823,FALSE
"POCUS_Shock_Yoshida2023","ROBUST","Low","Stand-alone Diagnostic",0.943,0.938,FALSE
"Procalcitonin_Sepsis_Wacker2013","ROBUST","Low","Adjunct Only",0.822,0.763,FALSE
"SAQ_data","ROBUST","Low","Stand-alone Diagnostic",0.874,0.913,FALSE
"SkinTests_data","CONDITIONAL","Low","Confirmation (Rule-In)",0.359,0.964,FALSE
"Smoking_data","ROBUST","Low","Stand-alone Diagnostic",0.917,0.917,FALSE
"TB_SmearMicroscopy_Steingart2006","ROBUST","Low","Confirmation (Rule-In)",0.751,0.979,FALSE
"XpertMTB_RIF_Tuberculosis2014","ROBUST","Low","Confirmation (Rule-In)",0.842,0.973,FALSE
